Treatment,Period,Group,BoxNum,Round,Future_coalition_P,Future_coalition_V1,Future_coalition_V2,Compete_P,Compete_V1,Compete_V2,All_way_split_P,All_way_split_V1,All_way_split_V2,MWC_P,MWC_V1,MWC_V2,MaxRounds,identity,Chat
2,6,1,4,1,,,,,,,,,,,,,2,v1-v2,"[V1] ""What do you wanna do?""
[V1] ""10 each?""
[V2] ""yeah ""
[V1] ""Cuz he offered me 7""
[V1] ""and 8 to you""
[V2] ""I guess that's not too bad either ""
[V2] ""He also just offered me 22 and 8 ""
[V1] ""But we get to decide""
[V1] ""Why let that person freeload?""
[V2] ""so do you want to insist on 10 each and keep rejecting until then ""
[V1] ""We have 2 votes""
[V1] ""Yepp""
[V1] ""Let's take 10""
[V2] ""sounds good"""
2,7,1,1,1,,,,,,,,,,,,,1,p-v1,"[V1] ""want to 15 and 15"""
2,7,1,3,1,,,,,,,,,,,,,1,public,"[V2] ""Subject 2... you rock!"""
2,8,1,1,1,,,,,,,,,,,,,2,p-v1,"[V1] ""13/17?""
[P] ""1/12/17?""
[P] "":P""
[V1] ""ok"""
2,8,1,2,1,,,,,,,,,,,,,2,p-v2,"[V2] ""20/10?""
[P] ""19/10/1?""
[V2] ""done"""
2,8,1,2,2,,,,,,,,,,,,,2,p-v2,"[V2] ""15 each?""
[P] ""ok"""
2,8,1,4,1,,,,,,,,,,,,,2,v1-v2,"[V2] ""if he gives you less than 15 dont accept""
[V1] ""ok""
[V2] ""if I am proposer next round we'll split 15 each""
[V1] ""ok"""
2,9,1,1,1,,,,,,,,,,,,,2,p-v1,"[P] ""10/0/20?"""
2,9,1,1,2,,,,,,,,,,,,,2,p-v1,"[V1] ""here we go""
[V1] ""15 each?""
[P] ""yup"""
2,9,1,2,1,,,,,,,,,,,,,2,p-v2,"[P] ""0/10/20?""
[V2] ""done"""
2,9,1,2,2,,,,,,,,,,,,,2,p-v2,"[V2] ""19/0/11?"""
2,9,1,4,1,,,,,,,,,,,,,2,v1-v2,"[V2] ""if he gives less than 15 dont accept""
[V2] ""next round lets split equally?""
[V1] ""okay"""
2,10,1,1,1,,,,,,,,,,,,,2,p-v1,"[V1] ""18/12 or 20/10""
[P] ""25/5?""
[V1] ""no"""
2,10,1,1,2,,,,,,,,,,,,,2,p-v1,"[V1] ""ok 10 ?"""
2,10,1,4,1,,,,,,,,,,,,,2,v1-v2,"[V2] ""if he gives less than 15 don't accept""
[V2] ""next round we'll split equally""
[V2] ""?""
[V1] ""ok done""
[V2] ""cool"""
2,11,1,1,1,,,,,,,,,,,,,1,p-v1,"[V1] ""16 14?"""
2,11,1,2,1,,,,,,,,,,,,,1,p-v2,"[V2] ""12 for me rest for you""
[V2] ""or 10/20""
[P] ""20/10""
[V2] ""okay'"""
2,11,1,3,1,,,,,,,,,,,,,1,public,"[V1] ""hi"""
2,11,1,4,1,,,,,,,,,,,,,1,v1-v2,"[V1] ""If unfair, we can 15 15 in next round by rejecting""
[V2] ""alright"""
2,12,1,1,1,,,,,,,,,,,,,1,p-v1,"[V1] ""12/18/0?""
[P] ""ok""
[V1] ""ok"""
2,12,1,2,1,,,,,,,,,,,,,1,p-v2,"[V2] ""give me 12"""
2,13,1,1,1,,,,,,,,,,,,,1,p-v1,"[V1] ""20 and 10?""
[P] ""why so low""
[V1] ""You want more?"""
2,13,1,2,1,,,,,,,,,,,,,1,p-v2,"[P] ""before you guys starting collabing""
[P] ""I will do 15 15 for us""
[P] ""sound good?""
[V2] ""yup""
[P] ""stick to it""
[P] ""lets make a code word just in case""
[P] ""tapatio sauce""
[P] ""good?""
[P] ""say it back""
[V2] ""don't worry I've been scammed too many times Ill stick to it ""
[P] ""ok""
[V2] ""tapatio sauce"""
2,13,1,4,1,,,,,,,,,,,,,1,v1-v2,"[V1] ""15 each?""
[V1] ""Reject whatever they offer?"""
2,14,1,1,1,,,,,,,,,,,,,2,p-v1,"[P] ""11-19?""
[V1] ""yeahh"""
2,14,1,3,1,,,,,,,,,,,,,2,public,"[P] ""Hello!""
[V1] ""hi""
[P] ""How you guys wanna split?""
[V2] ""hi!""
[V2] ""its dope if you split evenly""
[V1] ""lol"""
2,14,1,4,1,,,,,,,,,,,,,2,v1-v2,"[V2] ""reject if they offer less than 15""
[V1] ""reject anything less than 15""
[V1] ""done""
[V2] ""we can split it next round""
[V1] ""yess""
[V2] ""id accept a 3 way split tho"""
2,14,1,4,2,,,,,,,,,,,,,2,v1-v2,"[V2] ""please split with me""
[V1] ""yess"""
2,15,1,1,1,,,,,,,,,,,,,1,p-v1,"[P] ""offer?""
[V1] ""13/0/17?""
[P] ""mkay"""
2,15,1,2,1,,,,,,,,,,,,,1,p-v2,"[P] ""offer?""
[V2] ""20/10?"""
2,1,2,3,1,,,,,,,,,,,,,1,public,"[V1] ""hi""
[V2] ""hi""
[P] ""Hi""
[V1] ""so how are yo guys doing""
[V1] ""you*""
[V2] ""how are we dividing the amount?""
[V1] ""10 each""
[V1] ""?""
[V2] ""sounds good""
[P] ""Yeah """
2,2,2,1,1,,,,,,,,,,,,,1,p-v1,"[V1] ""15/15/0?"""
2,2,2,3,1,,,,,,,,,,,,,1,public,"[V2] ""hii""
[V1] ""hi""
[V2] ""10 each?"""
2,2,2,4,1,,,,,,,,,,,,,1,v1-v2,"[V1] ""15/15/0?""
[V2] ""proposer is subj 3"""
2,3,2,1,1,,,,,,,,,,,,,1,p-v1,"[V1] ""split it with me 15 15?""
[P] ""same offer from 2""
[P] ""better deal?""
[V1] ""12 12 6?""
[V1] ""me and you both get 12""
[V1] ""or i could do 16 14""
[V1] ""you get 16"""
2,3,2,2,1,,,,,,,,,,,,,1,p-v2,"[V2] ""Wanna split 15 and 15""
[P] ""same offer from 1""
[P] ""better deal?""
[V2] ""hm 17 to you 13 me ""
[P] ""done!"""
2,3,2,3,1,,,,,,,,,,,,,1,public,"[P] ""Hello""
[V2] ""hello"""
2,4,2,1,1,,,,,,,,,,,,,1,p-v1,"[V1] ""hey 10 each works?"""
2,4,2,2,1,,,,,,,,,,,,,1,p-v2,"[P] ""want to slpit it between us?""
[V2] ""yes""
[V2] ""sure! lol"""
2,4,2,3,1,,,,,,,,,,,,,1,public,"[V1] ""10 each ?""
[V2] ""yup""
[V2] ""subject3??"""
2,5,2,1,1,,,,,,,,,,,,,1,p-v1,"[P] ""17/13/0?""
[V1] ""let' just split equally"""
2,5,2,2,1,,,,,,,,,,,,,1,p-v2,"[P] ""17/13/0/""
[P] ""?""
[V2] ""done"""
2,5,2,3,1,,,,,,,,,,,,,1,public,"[V1] ""split equally?""
[V2] ""equal share guys?""
[V2] ""yeahh"""
2,6,2,1,1,,,,,,,,,,,,,1,p-v1,"[V1] ""13 17?""
[P] ""12 18""
[V1] ""cool""
[V1] ""ill acccept if its 12"""
2,6,2,4,1,,,,,,,,,,,,,1,v1-v2,"[V2] ""13/17?""
[V1] ""yeah"""
2,7,2,1,1,,,,,,,,,,,,,3,p-v1,"[V1] ""12 18?""
[P] ""no""
[V1] ""?""
[V1] ""11 19?"""
2,7,2,1,3,,,,,,,,,,,,,3,p-v1,"[V1] ""haha""
[V1] ""now it worked""
[P] ""yeah""
[V1] ""cool""
[P] ""13 17?""
[V1] ""common man""
[V1] ""15 15"""
2,7,2,2,1,,,,,,,,,,,,,3,p-v2,"[V2] ""13 17?""
[P] ""no"""
2,7,2,2,3,,,,,,,,,,,,,3,p-v2,"[V2] ""yo""
[V2] ""10 to me 20 to you""
[P] ""sure""
[V2] ""k""
[V2] ""what is the other guy telling you""
[P] ""15""
[V2] ""I'm 10""
[P] ""im going ahead with 10 20"""
2,7,2,3,1,,,,,,,,,,,,,3,public,"[P] ""ok listen""
[P] ""I want to have every round I'm in be fair""
[P] ""because on average, if we don't cheat each other""
[P] ""we all come out with more money""
[P] ""hopefully $30 each""
[V1] ""ok fair enough""
[P] ""so!""
[V2] ""yeah""
[P] ""from now on, I want you guys to propose this same deal""
[P] ""*same deal""
[P] ""and try to convince other people too""
[P] ""I want $30 out of this experiment ""
[P] ""no more no less""
[P] ""the other experiments are harder to make money on sometimes""
[V2] ""sure""
[P] ""so this is the easiest""
[P] ""lets be fair""
[V2] ""yeah""
[P] ""on average better payout"""
2,7,2,3,2,,,,,,,,,,,,,3,public,"[P] ""LOL""
[P] ""you guys are the worst""
[V1] ""lol""
[P] ""tell me what you want""
[P] ""same proposer""
[V2] ""ok lets do 10 10 10""
[V1] ""lol""
[V1] ""cool""
[P] ""thats what I thought"""
2,7,2,3,3,,,,,,,,,,,,,3,public,"[V2] ""you guys suck""
[V2] ""fr"""
2,7,2,4,1,,,,,,,,,,,,,3,v1-v2,"[V1] ""lets reject any of his proposal and split 15$ each in n ext round?""
[V2] ""does any one of us become the propser next round?""
[V1] ""yes""
[V2] ""im up""
[V1] ""cool...lets reject his 10 10 10 offer lol""
[V2] ""cool""
[V2] ""do our ids remain same?""
[V1] ""yup""
[V2] ""how do i know that 1 is you?""
[V1] ""it was in the rules""
[V2] ""cool"""
2,7,2,4,2,,,,,,,,,,,,,3,v1-v2,"[V2] ""how is it the same?""
[V1] ""it is randomly re alloted""
[V1] ""i think he got picked again"""
2,7,2,4,3,,,,,,,,,,,,,3,v1-v2,"[V1] ""haha""
[V1] ""he is cheating me for 13 17"""
2,8,2,1,1,,,,,,,,,,,,,1,p-v1,"[P] ""20/10? cuz the other person wanted to screw you out""
[V1] ""ok"""
2,8,2,2,1,,,,,,,,,,,,,1,p-v2,"[V2] ""16 you 14 me"""
2,8,2,3,1,,,,,,,,,,,,,1,public,"[V1] ""we should split evenly""
[V1] ""its fair""
[V1] ""and we have better odds of leaving with more money if we dont cheat""
[V2] ""okay fair"""
2,8,2,4,1,,,,,,,,,,,,,1,v1-v2,"[V2] ""okay before you agree to anything here's the deal""
[V1] ""?"""
2,9,2,1,1,,,,,,,,,,,,,1,p-v1,"[V1] ""12/18?"""
2,9,2,2,1,,,,,,,,,,,,,1,p-v2,"[V2] ""hey""
[V2] ""18/12""
[V2] ""?""
[V2] ""or 20/10?""
[P] ""ok""
[V2] ""great"""
2,10,2,1,1,,,,,,,,,,,,,1,p-v1,"[V1] ""14/16/0?""
[V1] ""can give u more ""
[V1] ""negotiate"""
2,10,2,2,1,,,,,,,,,,,,,1,p-v2,"[V2] ""19, 11?""
[P] ""ok""
[V2] ""nice""
[V2] ""or fair if youre feeling fair haha""
[P] ""no man, already so many people played""
[V2] ""haha seriously its vicious"""
2,11,2,1,1,,,,,,,,,,,,,2,p-v1,"[V1] ""How about 17/13?""
[P] ""2 offered me 19, 11""
[V1] ""Haha...""
[V1] ""how about 20 / 10 then?""
[P] ""would you take 5?""
[V1] ""I'm not sure. maybe""
[V1] ""ok... better than 0""
[P] ""haha ok nice"""
2,11,2,1,2,,,,,,,,,,,,,2,p-v1,"[V1] ""20 10?""
[V1] ""you get 20""
[P] ""cool...""
[V1] ""dope""
[P] ""+1 for you ! :)"""
2,11,2,2,1,,,,,,,,,,,,,2,p-v2,"[V2] ""19 11?""
[V2] ""20 10?""
[P] ""ok""
[V2] ""cool""
[V2] ""ill do 21 9 if they offered the same"""
2,11,2,2,2,,,,,,,,,,,,,2,p-v2,"[V2] ""you didnt take 5!"""
2,11,2,3,1,,,,,,,,,,,,,2,public,"[P] ""hi"""
2,11,2,4,1,,,,,,,,,,,,,2,v1-v2,"[V2] ""reject the offer"""
2,12,2,1,1,,,,,,,,,,,,,1,p-v1,"[V1] ""10/20?"""
2,12,2,2,1,,,,,,,,,,,,,1,p-v2,"[V2] ""how about 19, 11?""
[P] ""Lol""
[P] ""No ned to say boss due chill""
[V2] ""hahaha"""
2,12,2,3,1,,,,,,,,,,,,,1,public,"[P] ""Hello!""
[V1] ""Hi""
[V2] ""hii boss""
[V2] """""
2,13,2,1,1,,,,,,,,,,,,,1,p-v1,"[V1] ""11-19?"""
2,13,2,2,1,,,,,,,,,,,,,1,p-v2,"[V2] ""18 12?"""
2,13,2,3,1,,,,,,,,,,,,,1,public,"[P] ""hi""
[V1] ""Hello!"""
2,14,2,1,4,,,,,,,,,,,,,4,p-v1,"[V1] ""15 15""
[V1] ""?"""
2,14,2,2,1,,,,,,,,,,,,,4,p-v2,"[V2] ""12 ?"""
2,14,2,4,1,,,,,,,,,,,,,4,v1-v2,"[V1] ""reject if less than 15""
[V1] ""then it gets thrown to us""
[V2] ""done""
[V1] ""kk"""
2,15,2,1,1,,,,,,,,,,,,,1,p-v1,"[P] ""44183""
[V1] ""cool""
[V1] ""deal"""
2,15,2,2,1,,,,,,,,,,,,,1,p-v2,"[V2] ""hey""
[V2] ""20/10?""
[P] ""alright""
[V2] ""ok"""
2,15,2,4,1,,,,,,,,,,,,,1,v1-v2,"[V1] ""reject anything below 15""
[V1] ""we will split next round"""
2,1,3,1,1,,,,,,,,,,,,,1,p-v1,"[P] ""hi""
[V1] ""hello""
[P] ""any suggestions""
[V1] ""15 for you, 13 for me, 2 for the last person -- I'll approve""
[P] ""ok""
[P] ""done"""
2,1,3,2,1,,,,,,,,,,,,,1,p-v2,"[P] ""hi""
[V2] ""hey""
[V2] ""how are we gonna divide?""
[P] ""what u suggest""
[V2] ""I guess equal is better""
[V2] ""?"""
2,1,3,4,1,,,,,,,,,,,,,1,v1-v2,"[V2] ""How are we dividing?"""
2,2,3,1,1,,,,,,,,,,,,,1,p-v1,"[V1] ""Hey!"""
2,2,3,3,1,,,,,,,,,,,,,1,public,"[P] ""share equally?""
[V2] ""hi everyone 10/10/10?""
[V2] ""yes i want to keep it fair"""
2,3,3,1,1,,,,,,,,,,,,,1,p-v1,"[V1] ""17/13/0?""
[P] ""15/0/5""
[P] ""10/15/5?""
[V1] ""sure"""
2,3,3,2,1,,,,,,,,,,,,,1,p-v2,"[V2] ""how u feel about splitting evenly?""
[V2] ""with all three haha""
[P] ""I was going to do that but hen subject  wanted to do 17/13/0 so how about we do 15 to both of us and 0 for subject  1""
[V2] ""hmmmm""
[V2] ""i would be greedy but you have the power to punish for that haha"""
2,3,3,3,1,,,,,,,,,,,,,1,public,"[V2] ""hi""
[P] ""Hi"""
2,4,3,2,1,,,,,,,,,,,,,1,p-v2,"[V2] ""15 you 15 me?"""
2,4,3,3,1,,,,,,,,,,,,,1,public,"[P] ""hi""
[V1] ""10 each?""
[P] ""i just got jipped on the last one""
[P] ""haha so feeling pretty fair""
[V2] ""lol works for me""
[V1] ""Yeah sucks happened to me too"""
2,5,3,1,1,,,,,,,,,,,,,1,p-v1,"[V1] ""hey""
[P] ""offer?""
[V1] ""10 for me, 20 for you""
[P] ""done""
[V1] ""go ahead""
[V1] ""propose"""
2,5,3,2,1,,,,,,,,,,,,,1,p-v2,"[P] ""offer?""
[V2] ""16/14/0"""
2,6,3,1,1,,,,,,,,,,,,,1,p-v1,"[V1] ""15 - 15 split?"""
2,6,3,2,1,,,,,,,,,,,,,1,p-v2,"[V2] ""15 you 15 me?""
[P] ""alright"""
2,7,3,1,1,,,,,,,,,,,,,1,p-v1,"[P] ""20 10?""
[P] ""21 9?"""
2,7,3,2,1,,,,,,,,,,,,,1,p-v2,"[V2] ""19 11?""
[P] ""20 10?""
[V2] ""yes""
[V2] ""21 9 even""
[P] ""20 10, done!"""
2,7,3,4,1,,,,,,,,,,,,,1,v1-v2,"[V1] ""they offered me 10 so they can have 20""
[V1] ""we should both reject and split the offer between us when its reassigned"""
2,8,3,1,1,,,,,,,,,,,,,1,p-v1,"[V1] ""14/16/0?""
[V1] ""can give u more""
[V1] ""negotiate""
[P] ""alright""
[P] ""18/12?""
[V1] ""fine"""
2,8,3,2,1,,,,,,,,,,,,,1,p-v2,"[V2] ""want to do 15 and 15""
[P] ""ok""
[V2] ""do want more""
[V2] ""you *"""
2,10,3,1,1,,,,,,,,,,,,,1,p-v1,"[V1] ""17 and 13?""
[V1] ""actuallu no""
[V1] ""10 each?"""
2,10,3,2,1,,,,,,,,,,,,,1,p-v2,"[V2] ""18-12?"""
2,10,3,3,1,,,,,,,,,,,,,1,public,"[V2] ""Hey""
[P] ""hey"""
2,10,3,4,1,,,,,,,,,,,,,1,v1-v2,"[V1] ""Lets insist for 10 each?""
[V2] ""Sounds Legit"""
2,11,3,2,1,,,,,,,,,,,,,1,p-v2,"[V2] ""12 18?""
[P] ""Cool!""
[V2] ""go ahead"""
2,11,3,3,1,,,,,,,,,,,,,1,public,"[P] ""Hey""
[V1] ""equal split?"""
2,12,3,1,1,,,,,,,,,,,,,2,p-v1,"[V1] ""20 10?""
[P] ""deal"""
2,12,3,1,2,,,,,,,,,,,,,2,p-v1,"[V1] ""so what's the deal"""
2,12,3,2,1,,,,,,,,,,,,,2,p-v2,"[V2] ""12 18""
[V2] ""?"""
2,12,3,2,2,,,,,,,,,,,,,2,p-v2,"[V2] ""15 15?""
[P] ""done""
[V2] ""go ahead"""
2,12,3,3,1,,,,,,,,,,,,,2,public,"[V1] ""hi"""
2,12,3,4,1,,,,,,,,,,,,,2,v1-v2,"[V1] ""If unfair, 15 each in next round?""
[V2] ""yes"""
2,13,3,1,1,,,,,,,,,,,,,1,p-v1,"[V1] ""I am good with 0""
[V1] ""10"""
2,13,3,2,1,,,,,,,,,,,,,1,p-v2,"[V2] ""offer, 20/10""
[P] ""ok"""
2,13,3,3,1,,,,,,,,,,,,,1,public,"[P] ""hi"""
2,13,3,4,1,,,,,,,,,,,,,1,v1-v2,"[V1] ""hey""
[V1] ""lets reject""
[V1] ""and do 15 in next?""
[V2] ""how would i know that you would?""
[V2] ""15 each?"""
2,14,3,1,1,,,,,,,,,,,,,1,p-v1,"[P] ""44183""
[V1] ""word"""
2,14,3,2,1,,,,,,,,,,,,,1,p-v2,"[P] ""44183""
[V2] ""cool"""
2,15,3,1,1,,,,,,,,,,,,,2,p-v1,"[V1] ""u 20, me 20?""
[V1] ""10 haha""
[V1] ""shoot""
[P] ""take 15 and end this"""
2,15,3,2,2,,,,,,,,,,,,,2,p-v2,"[P] ""hi""
[V2] ""15 each?""
[P] ""sure"""
2,15,3,4,1,,,,,,,,,,,,,2,v1-v2,"[V2] ""lets not accpet anythingg below 15?""
[V2] ""next round we split equal?""
[V1] ""ooo i like this""
[V1] ""okay"""
2,15,3,4,2,,,,,,,,,,,,,2,v1-v2,"[V1] ""doont accept""
[V2] ""that was a fair offer""
[V2] ""hahahah""
[V1] ""i will give u 17"""
2,1,4,1,1,,,,,,,,,,,,,1,p-v1,"[P] ""imma give u 15 a""
[P] ""and imma get 15""
[P] ""and theyre not gonna get""
[P] ""so if you vote we both get 15""
[V1] ""ok"""
2,1,4,3,1,,,,,,,,,,,,,1,public,"[P] ""hi""
[V2] ""hello""
[P] ""wait so can yall see what i just put in""
[V1] ""Hi. ""
[V1] ""no we can't see it yet""
[V2] ""Nope, not yet!""
[P] ""does it automatically go to voting if i ssubmite""
[P] ""submit***""
[V2] ""I guess so"""
2,2,4,1,1,,,,,,,,,,,,,1,p-v1,"[V1] ""hi""
[P] ""hi""
[V1] ""how are we dividing?""
[V1] ""may be 15 for you and 13 for me""
[V1] ""this will get accepted""
[P] ""yeah""
[V1] ""go ahead""
[V1] ""or 15 15 is better""
[V1] ""your call""
[P] ""ohh cool""
[V1] ""great"""
2,2,4,2,1,,,,,,,,,,,,,1,p-v2,"[V2] ""u take 15""
[V2] ""give me 10""
[P] ""doing that only""
[V2] ""and give 2nd 5""
[P] ""i'll take 16 and you take 14""
[V2] ""ok"""
2,3,4,2,1,,,,,,,,,,,,,1,p-v2,"[V2] "" here's a deal""
[P] ""what?""
[V2] ""you take 17 and I take 13""
[V2] ""hey""
[V2] ""are you talking to the other guy""
[P] ""lET ME THINK"""
2,3,4,3,1,,,,,,,,,,,,,1,public,"[P] ""10 each?""
[V1] ""theres an incentive to cheat but the odds are actually that we could all make more money in the long run if we split evenly""
[V2] ""hold on I'm having trouble reading this""
[V1] ""bc we're likely to get a 0 round for payout""
[V2] ""give me a sec""
[V2] ""this ChatTable sucks I cant scroll right""
[V1] ""yeah same issue""
[V2] ""ok honestly I agree""
[V1] ""payoff is determined by two random rounds""
[V1] ""if one is 15 and one is 0,"""
2,4,4,1,1,,,,,,,,,,,,,1,p-v1,"[P] ""hey""
[P] ""imma give them 0a""
[V1] ""16/14/0""
[P] ""and just split it between us""
[V1] ""yes""
[P] ""aight"""
2,4,4,2,1,,,,,,,,,,,,,1,p-v2,"[V2] ""15/15/0?"""
2,5,4,1,1,,,,,,,,,,,,,1,p-v1,"[V1] ""15 you and 15 me?""
[P] ""17/13?"""
2,5,4,4,1,,,,,,,,,,,,,1,v1-v2,"[V1] ""wanna get 15 to you and 15 to me? we can reject whatever they're proposing, one of us will be chosen as a proposer and then we can split it evenly"""
2,6,4,1,1,,,,,,,,,,,,,1,p-v1,"[P] ""want to split it?"""
2,6,4,3,1,,,,,,,,,,,,,1,public,"[V1] ""hey""
[V2] ""hi""
[V1] ""idk if you saw somebody say it before already""
[V1] ""but we should do 10-10-10""
[V1] ""more payout for everyone on average ""
[V1] ""if we don't cheat each other""
[V2] ""thats fair""
[V1] ""I think we all want $30 at the end of this""
[V1] ""better than taking the risk"""
2,7,4,1,1,,,,,,,,,,,,,1,p-v1,"[V1] ""14/16/0?"""
2,7,4,2,1,,,,,,,,,,,,,1,p-v2,"[V2] ""12 for me""
[V2] ""rest for you""
[P] ""donee"""
2,8,4,1,1,,,,,,,,,,,,,1,p-v1,"[P] ""offer?""
[V1] ""20/10""
[P] ""done"""
2,8,4,2,1,,,,,,,,,,,,,1,p-v2,"[V2] ""13 17?"""
2,9,4,1,1,,,,,,,,,,,,,1,p-v1,"[V1] ""18/12""
[V1] ""?"""
2,9,4,2,1,,,,,,,,,,,,,1,p-v2,"[V2] ""offer?""
[P] ""19, 11?""
[V2] ""done"""
2,9,4,3,1,,,,,,,,,,,,,1,public,"[P] ""hi""
[V2] ""hi""
[V1] ""hi"""
2,10,4,1,2,,,,,,,,,,,,,2,p-v1,"[P] ""ill give 11""
[V1] ""just split equally"""
2,10,4,2,1,,,,,,,,,,,,,2,p-v2,"[V2] ""How about 17-13?""
[P] ""20 10""
[V2] ""ok""
[P] ""cool"""
2,10,4,2,2,,,,,,,,,,,,,2,p-v2,"[P] ""you dont wanna accept?""
[V2] ""yes... I misread it""
[P] ""haha really?""
[P] ""you up for 10?""
[P] ""final ""
[V2] ""I am not really trying to be very truthful here :p""
[V2] ""we can go for 18 -12?""
[P] ""yeah""
[V2] ""cool"""
2,10,4,3,2,,,,,,,,,,,,,2,public,"[P] ""lol"""
2,11,4,1,1,,,,,,,,,,,,,2,p-v1,"[P] ""12 18?""
[V1] ""qho ia 12""
[V1] ""who is `1**""
[V1] ""12**""
[V1] ""sorry cant type lol""
[P] ""you lol""
[V1] ""oh but if i say not"""
2,11,4,2,1,,,,,,,,,,,,,2,p-v2,"[P] ""12 18?""
[V2] ""ok"""
2,11,4,2,2,,,,,,,,,,,,,2,p-v2,"[V2] ""15 15 next round?""
[P] ""lmaoooo"""
2,11,4,3,1,,,,,,,,,,,,,2,public,"[P] ""eagle?"""
2,11,4,4,1,,,,,,,,,,,,,2,v1-v2,"[V1] ""if they offer less than 15""
[V1] ""vote no""
[V1] ""then we can allocatea""
[V2] ""yeah same for you""
[V1] ""nd give them 0""
[V1] ""mkay"""
2,11,4,4,2,,,,,,,,,,,,,2,v1-v2,"[V2] ""15 15 next round?"""
2,12,4,1,1,,,,,,,,,,,,,1,p-v1,"[P] ""offer?""
[V1] ""16 12""
[V1] ""18 12""
[V1] ""sorry ""
[V1] ""you 18 ""
[P] ""haha math is hard""
[V1] ""i can go lower too""
[P] ""21 9?""
[V1] ""trust me i hate math :d""
[V1] ""20 10 please :)""
[V1] ""0ne extra coffee ""
[V1] ""i guess""
[P] ""i got that offer from other guy""
[V1] "" ok 9 21 it is """
2,12,4,2,1,,,,,,,,,,,,,1,p-v2,"[V2] ""offer?""
[P] ""you offer""
[V2] ""20/10?""
[P] ""done""
[V2] ""cool"""
2,13,4,1,1,,,,,,,,,,,,,2,p-v1,"[P] ""Offer?""
[V1] ""12"""
2,13,4,2,1,,,,,,,,,,,,,2,p-v2,"[P] ""offer?""
[V2] ""i get 17 u get 13""
[V2] ""bc otherwisew""
[V2] ""we both vote noa""
[V2] ""nd u get 0 next round"""
2,13,4,2,2,,,,,,,,,,,,,2,p-v2,"[P] ""cool 15 15 now""
[V2] ""ok"""
2,13,4,4,1,,,,,,,,,,,,,2,v1-v2,"[V2] ""reject if less than 15""
[V2] ""it'l get thrown to us""
[V1] ""dont accept anything under 15""
[V1] ""ok done""
[V2] ""cool"""
2,14,4,1,1,,,,,,,,,,,,,2,p-v1,"[P] ""offer?""
[P] ""nah?""
[V1] ""what is the other guy doing""
[P] ""can u beat 20 10?""
[V1] ""thats what he offered?""
[P] ""yes""
[V1] ""9 21""
[P] ""ok word """
2,14,4,1,2,,,,,,,,,,,,,2,p-v1,"[V1] ""who were you""
[P] ""code?""
[V1] ""hardwell""
[V1] ""oh thank god""
[P] ""15 15?""
[V1] ""15 15 lets do this"""
2,14,4,2,1,,,,,,,,,,,,,2,p-v2,"[V2] ""20 10?""
[P] ""offer?""
[P] ""20 10 sounds good""
[V2] ""done""
[P] ""20 10 it is""
[V2] ""cool"""
2,14,4,2,2,,,,,,,,,,,,,2,p-v2,"[V2] ""damm""
[V2] ""ill do 20 10""
[V2] ""you get 20"""
2,14,4,3,1,,,,,,,,,,,,,2,public,"[V2] ""hi"""
